Entity,Emissions per 1000 kilocalories,Land use per 1000 kilocalories,Eutrophication per 1000 kilocalories,Water scarcity per 1000 kilocalories,Water withdrawals per 1000 kilocalories,biodiversity_1000kcal
Ricotta cheese,5.201454772,6.017694517,17.57770469,10412.68784,488.8903477,322.3031229
Salmon,5.953092734,2.707115117,33.18021711,7266.066107,757.1832836,58.94269157
Salmon fishcakes,4.260376392,2.111291044,22.54104854,8910.711595,795.7034135,47.90868462
Sausage rolls,1.552119489,2.081232287,8.906437847,7308.348269,207.0235091,47.09051992
Shepherd's pie,5.535570319,7.90325832,6.074313868,1912.242745,53.13137596,104.6197436
Shortbread biscuits,0.4295585,0.594800911,2.221788513,1851.93723,99.63099012,21.11881645
Sourdough bread,0.344747345,0.969474476,2.17323342,3585.2728,100.0209999,16.39913971
Soy desert,1.292242002,2.35637203,7.34300234,3194.765731,345.7900002,184.8052614
Soy milk,2.32007257,1.951941507,6.056867133,2055.868897,119.8783384,94.84332633
Soy yoghurt,0.794417069,1.567392758,5.707726564,4342.281208,312.4061202,29.36071527
Spaghetti,0.766898995,1.451972936,4.873650644,5735.620544,196.9505953,15.22155898
Spaghetti bolognese,4.614566327,8.921030734,57.67327397,11943.68732,490.561503,178.8443503
Spinach,3.774241392,3.355186732,6.660618036,44369.58773,950.6533713,47.22537016
Sponge cake,0.48579965,0.623239958,2.338907062,2352.573864,125.8062203,22.45740434
Steak pie,3.380397945,6.712400264,43.27203463,8465.169564,346.5897216,133.8397743
Strawberries,5.180194958,5.508603768,6.11836488,19186.02973,558.0163339,120.0105092
Strawberry jam,1.985822127,1.520867774,6.318259918,7334.324809,415.7443156,39.17183483
Sugar,0.464976921,0.539468561,4.329213417,2786.450839,302.0806352,18.48887582
Sunflower oil,0.424540692,2.25705277,10.21426267,148.5348914,2.689366169,72.32696883
Sunflower seeds,0.324077422,1.839014724,8.282634848,135.33197,2.382404395,59.92653414
Sweetcorn,1.289329982,2.752130483,5.394090197,10685.37255,208.9826128,14.46283093
Tea,1510.962998,2023.699474,5851.853152,49968.35577,1624.488021,216268.2405
